workflow_id,current_node_date_1,stage1,current_node_date_2,stage2,current_node_date_3,stage3,current_node_date_4,stage4,current_node_date_5,stage5,value
2,2021-01-03,Language Selection,2021-01-08,Initial Reminder - Spanish,2021-01-14,Converted,2021-01-14,Workflow Change - Renewal,,,1
2,2021-01-04,Language Selection,2021-01-06,Initial Reminder - English,2021-01-14,Second Reminder - English,2021-01-21,Not Converted,2021-01-21,Cancelation Confirmation,1
2,2021-01-04,Language Selection,2021-01-07,Initial Reminder - Spanish,2021-01-09,Not Converted,2021-01-09,Cancelation Confirmation,,,1
2,2021-01-04,Language Selection,2021-01-08,Initial Reminder - English,2021-01-09,Second Reminder - English,2021-01-11,Not Converted,2021-01-11,Cancelation Confirmation,1
2,2021-01-04,Language Selection,2021-01-08,Initial Reminder - Spanish,2021-01-10,Converted,2021-01-10,Workflow Change - Renewal,,,1
2,2021-01-04,Language Selection,2021-01-09,Initial Reminder - Spanish,2021-01-15,Not Converted,2021-01-15,Cancelation Confirmation,,,1
2,2021-01-04,Language Selection,2021-01-10,Initial Reminder - English,2021-01-11,Not Converted,2021-01-11,Cancelation Confirmation,,,1
2,2021-01-04,Language Selection,2021-01-12,Initial Reminder - English,2021-01-19,Second Reminder - English,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,1
2,2021-01-05,Language Selection,2021-01-06,Initial Reminder - Spanish,2021-01-10,Not Converted,2021-01-10,Cancelation Confirmation,,,1
2,2021-01-05,Language Selection,2021-01-06,Initial Reminder - Spanish,2021-01-12,Not Converted,2021-01-12,Cancelation Confirmation,,,1
2,2021-01-05,Language Selection,2021-01-11,Initial Reminder - Spanish,2021-01-14,Not Converted,2021-01-14,Cancelation Confirmation,,,1
2,2021-01-05,Language Selection,2021-01-12,Initial Reminder - English,2021-01-13,Not Converted,2021-01-13,Cancelation Confirmation,,,1
2,2021-01-06,Initial Reminder - English,2021-01-14,Second Reminder - English,2021-01-21,Not Converted,2021-01-21,Cancelation Confirmation,,,1
2,2021-01-06,Language Selection,2021-01-07,Initial Reminder - English,2021-01-12,Second Reminder - English,2021-01-14,Converted,2021-01-14,Workflow Change - Renewal,1
2,2021-01-06,Language Selection,2021-01-09,Initial Reminder - Spanish,2021-01-11,Not Converted,2021-01-11,Cancelation Confirmation,,,1
2,2021-01-06,Language Selection,2021-01-10,Initial Reminder - Spanish,2021-01-11,Not Converted,2021-01-11,Cancelation Confirmation,,,1
2,2021-01-06,Language Selection,2021-01-12,Initial Reminder - Spanish,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,,,1
2,2021-01-06,Language Selection,2021-01-12,Initial Reminder - Spanish,2021-01-19,Not Converted,2021-01-19,Cancelation Confirmation,,,1
2,2021-01-06,Language Selection,2021-01-13,Initial Reminder - Spanish,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,,,1
2,2021-01-06,Language Selection,2021-01-13,Initial Reminder - Spanish,2021-01-21,Converted,2021-01-21,Workflow Change - Renewal,,,1
2,2021-01-06,Language Selection,2021-01-14,Initial Reminder - Spanish,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,,,1
2,2021-01-07,Initial Reminder - English,2021-01-12,Second Reminder - English,2021-01-14,Converted,2021-01-14,Workflow Change - Renewal,,,1
2,2021-01-07,Language Selection,2021-01-08,Initial Reminder - Spanish,2021-01-13,Not Converted,2021-01-13,Cancelation Confirmation,,,1
