id,workflow_id,workflow_version,object_id,name,node_type,inputs,outputs,custom_data,active
48,1,6,0x7fb53c6bdc10,API Trigger,nodes.trigger.APITrigger,[],"[""0x7fb53c6efa60""]","{""api_endpoint"": ""30dafbdb7f52907f3f749092552772b2563afbf6e87880d4b568da40ed013bf4""}",TRUE
49,1,6,0x7fb53c6efa60,SMS Outreach,nodes.outreach.SMSOutreach,"[""0x7fb53c6bdc10""]","[""0x7fb53c691520"", ""0x7fb53c689ca0""]","{""sms_templates"": ""Same Day Appt Reminder"", ""template_id"": 1}",TRUE
50,1,6,0x7fb53c691520,Converted,nodes.marker.Converted,"[""0x7fb53c6efa60""]",[],,TRUE
51,1,6,0x7fb53c689ca0,NotConverted,nodes.marker.NotConverted,"[""0x7fb53c6efa60""]",[],,TRUE
52,2,5,0x7fae01f389a0,API Trigger,nodes.trigger.APITrigger,[],"[""0x7fae01f6ca30""]","{""api_endpoint"": ""9031ea8395a314135be027d5e7d76c510fe2f7e0eb27b8b9bcd73b56dfab00d5""}",TRUE
53,2,5,0x7fae01f6ca30,Initial Reminder,nodes.outreach.SMSOutreach,"[""0x7fae01f389a0""]","[""0x7fae01f057c0"", ""0x7fae01f6ce80"", ""0x7fae01f1f2e0""]","{""sms_templates"": ""Prescription Reminder"", ""template_id"": 2}",TRUE
54,2,5,0x7fae01f057c0,Renewal Response Received,nodes.trigger.ExactResponseReceivedTrigger,"[""0x7fae01f6ca30"", ""0x7fae01f18190""]","[""0x7fae01f1ffd0"", ""0x7fae01f0e0d0""]","{""exact_response"": ""1""}",TRUE
55,2,5,0x7fae01f6ce80,Cancel Response Received,nodes.trigger.ExactResponseReceivedTrigger,"[""0x7fae01f6ca30"", ""0x7fae01f18190""]","[""0x7fae01f0e880"", ""0x7fae01f320a0""]","{""exact_response"": ""2""}",TRUE
56,2,5,0x7fae01f1f2e0,No Response - 8 Days,nodes.trigger.TimeElapsedTrigger,"[""0x7fae01f6ca30""]","[""0x7fae01f18190""]","{""time_units"": ""days"", ""time_number"": ""8""}",TRUE
57,2,5,0x7fae01f18190,Second Reminder,nodes.outreach.SMSOutreach,"[""0x7fae01f1f2e0""]","[""0x7fae01f057c0"", ""0x7fae01f6ce80""]","{""sms_templates"": ""Prescription Reminder"", ""template_id"": 2}",TRUE
58,2,5,0x7fae01f1ffd0,Workflow Change - Renewal,nodes.outreach.OutboundWorkflowChange,"[""0x7fae01f057c0""]",[],"{""workflow_templates"": ""Test APPT Reminder"", ""template_id"": 1}",TRUE
59,2,5,0x7fae01f0e880,Cancelation Confirmation,nodes.outreach.SMSOutreach,"[""0x7fae01f6ce80""]",[],"{""sms_templates"": ""Cancelation Confirmation"", ""template_id"": 6}",TRUE
60,2,5,0x7fae01f0e0d0,Converted,nodes.marker.Converted,"[""0x7fae01f057c0""]",[],,TRUE
61,2,5,0x7fae01f320a0,Not Converted,nodes.marker.NotConverted,"[""0x7fae01f6ce80""]",[],,TRUE
